path_id,t,S,VS,delta_S,delta_V,gain_S,gain_V,tc,cum_pnl
116,27,85.4361,14.4464,0.3854,0.1504,-0.4010,0.4481,0.0000,14.3633
116,28,84.4238,17.8252,0.2633,-0.0522,0.7201,0.0930,0.0001,15.1763
116,29,86.2922,18.4436,0.2393,-0.0508,-0.9607,0.0218,0.0000,14.2374
117,0,100.0000,13.3333,0.5460,0.3838,-0.0000,0.0000,0.0002,-0.0002
117,1,99.2672,19.4349,0.4091,0.0191,-0.8720,0.5105,0.0001,-0.3618
117,2,97.6700,20.7651,0.3639,-0.0236,3.9543,-0.2152,0.0000,3.3773
117,3,107.3360,9.4700,0.6949,0.6602,0.7759,-0.0168,0.0002,4.1362
117,4,109.4682,10.1831,0.7607,0.8906,-4.2550,3.9774,0.0000,3.8584
117,5,103.3448,16.2077,0.4993,0.2516,-1.4180,-3.0473,0.0002,-0.6070
117,6,101.4807,12.7862,0.6054,0.4463,1.7943,-0.1679,0.0001,1.0193
117,7,105.0742,12.1186,0.6403,0.5298,3.3901,-2.4498,0.0000,1.9596
117,8,110.6743,6.6290,0.8820,1.1534,0.0093,-0.5939,0.0001,1.3749
117,9,110.6888,5.5078,1.0083,1.6002,4.0832,-3.0372,0.0001,2.4208
117,10,115.3185,2.8746,1.2156,2.1540,-2.6790,4.9944,0.0001,4.7362
117,11,112.6617,5.9957,1.1517,2.0567,-2.2155,5.3268,0.0000,7.8474
117,12,110.8391,8.4687,0.9943,1.6620,0.2279,4.5696,0.0001,12.6448
117,13,111.0370,10.6905,0.8084,1.1030,5.5183,-4.9210,0.0001,13.2420
117,14,116.5866,7.7296,0.9063,1.1990,-0.9240,-1.8467,0.0000,10.4713
117,15,115.4436,6.0553,0.9979,1.4590,3.6255,-4.7049,0.0000,9.3918
117,16,119.4439,2.1311,1.2416,2.0930,0.9831,-1.9183,0.0001,8.4564
117,17,120.4290,0.8162,1.4344,2.5459,-0.3708,3.4924,0.0001,11.5781
117,18,120.1304,2.4848,1.4474,2.5790,1.9681,-0.4516,0.0000,13.0945
117,19,121.5025,2.3074,1.4679,2.6044,0.8376,3.3676,0.0000,17.2998
117,20,122.0812,3.6132,1.4122,2.4701,-2.4777,6.4263,0.0000,21.2484
117,21,120.3933,6.0807,1.2496,2.0983,-7.2199,9.1382,0.0001,23.1666
117,22,115.2808,9.7803,0.9484,1.3456,-0.0787,1.3157,0.0002,24.4034
117,23,115.2178,10.4074,0.7888,0.8365,0.1592,-6.8036,0.0001,17.7589
117,24,115.3857,5.3514,0.9602,1.1995,-3.3340,3.0249,0.0001,17.4497
117,25,111.1592,8.9676,0.8266,0.9143,4.2248,-4.9913,0.0001,16.6831
117,26,115.5590,4.8063,0.9901,1.2709,3.4815,-2.5632,0.0001,17.6013
117,27,119.7711,2.0028,1.2032,1.8044,2.3145,-2.5450,0.0001,17.3707
117,28,122.1086,0.0003,1.4204,2.3370,-0.0088,1.6306,0.0001,18.9925
117,29,122.1012,0.9040,1.5011,2.5121,-0.7313,-0.1640,0.0000,18.0971
118,0,100.0000,13.3333,0.5460,0.3838,0.0000,-0.0000,0.0002,-0.0002
118,1,101.4985,13.2756,0.6003,0.4621,0.2079,0.0771,0.0000,0.2848
118,2,101.8794,13.4765,0.5953,0.4554,-1.9402,3.0791,0.0000,1.4237
118,3,98.6475,20.1396,0.3795,-0.0477,1.3153,-1.6951,0.0002,1.0437
118,4,100.8568,16.4178,0.4991,0.2260,1.2360,0.1246,0.0001,2.4043
118,5,104.1133,13.8024,0.5920,0.3990,-3.4819,1.0657,0.0001,-0.0120
118,6,97.1366,18.5181,0.4148,0.0386,1.7017,-3.4152,0.0001,-1.7257
118,7,100.0111,9.9585,0.6598,0.5891,-1.3577,0.0521,0.0001,-3.0315
118,8,96.7376,11.3092,0.6345,0.5962,-0.4942,-2.0000,0.0000,-5.5257
